"STATION","NAME","DATE","TAVG"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-01","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-02","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-03","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-04","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-05","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-06","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-07","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-08","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-09","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-10","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-11","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-12","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-13","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-14","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-15","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-16","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-17","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-18","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-19","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-20","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-21","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-22","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-23","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-24","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-25","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-26","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-27","61"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-28","58"
